coffee_id,name,roaster,farmer,process,elevation,country_name,country_region,notes,varietals
162,Holiday Blend,Caffe Vita,,Washed,0,Brazil,Americas,"roasted marshmallow,nougat,dark chocolate",
163,Ethiopia Gogugu,Camber,,Washed,2140,Ethiopia,Africa,"pomelo,mango,jasmine",Heirlooms
164,Goodnight Moon Decaf,Camber,,Swiss Water Decaf,0,Ethiopia,Africa,"vanilla,blueberry,navel orange",
165,Peru La Union,Camber,La Union,Washed,1800,Peru,Americas,"bosc pear,brown sugar,melon","Typica,Caturra"
166,Zambia Mafinga Hills Decaf,Camber,Kateshi & Isanya Estates,EA Decaf,1470,Zambia,Africa,"red apple,concord grape,cranberry","Java,Catimor 129"
167,Guatemala El Bosque,Camber,,Washed,1750,Guatemala,Americas,"dark chocolate,pear,plum","Caturra,Bourbon"
168,Antigua,Capeuleu,,Washed,0,Guatemala,Americas,,
169,Dota Tarrazu Santa Maria,Cedar Spokes,,Pulp Natural,0,Costa Rica,Americas,"brown sugar,vanilla,lemon",
170,Banko Michica,City of Saints,Degefa Sema,Natural,2000,Ethiopia,Africa,"raspberry candy,strawberry rhubarb pie",Heirlooms
171,Nano Challa,Climpson & Sons,,Washed,1900,Ethiopia,Africa,"vanilla,grape,peach",Heirlooms
172,Ubwiza,Coava,Ubwiza Bwikawg Co-op,Washed,1600,Burundi,Africa,,"Bourbon,Mibirizi"
173,Coava - Burundi,Coava,,Washed,0,Burundi,Africa,,
174,Nathalia Maria,Coava,Nathalia Maria,Natural,1200,Brazil,Americas,"red apple,roasted macadamia nuts",Red Catuai
175,Costa Rica,Coffee Works Project,,Honey,0,Costa Rica,Americas,,"Caturra,Catuai"
176,Ethiopia Yirgacheffe Gelana Abaya,Conduit Coffee Company,Gelana Abaya co-op,Washed,1950,Ethiopia,Africa,"caramel,green apple,cocoa powder",Heirlooms
177,Kilimanjaro AA,Curio Coffee,,Washed,1550,Tanzania,Africa,"raisin,pear,maple syrup",
178,Curva - Peru,Curva,,Washed,0,Peru,Americas,,
179,Ethiopia,Cuvee,,Natural,2025,Ethiopia,Africa,,Heirlooms
180,Jackalope,Cuvee,,Washed,1900,Colombia,Americas,"citrus,malt",Caturra
181,Lost Highway,Dark Arts Coffee,,Washed,0,Nicaragua,Americas,,
182,Love Supreme,Dark Matter,,Washed,0,Blend,Blend,,
183,Entrepreneur Blend,Dillano,,Natural,0,Blend,Blend,"clove,crisp",
184,Cleotilde Quinchana,Dorothea,,Washed,0,Ecuador,Americas,tropical fruit,
185,Ethiopia Sidamo Basha Bekele,Drink Coffee Do Stuff,Basha Bekele,Natural,1900,Ethiopia,Africa,"brown sugar,fruit punch,fragant",Heirlooms
186,Santarossa Blend,Dune,,Natural,0,Brazil,Americas,"roasted,pie,cream,cream,sugar",Various
187,Honduras Olvin Fernandez,Dune,Olvin Fernandez,Washed,0,Honduras,Americas,"milk chocolate,red apple,nougat",Catuai
188,El Pilar Lot 4,Elm Coffee Roasters,,Washed,0,Guatemala,Americas,"watermelon,brown sugar,mango","Caturra,Typica,Bourbon"
189,Elm Seasonal Decaf,Elm Coffee Roasters,,EA Decaf,0,Colombia,Americas,"round,sweet",
190,Andres Pablo,Elm Coffee Roasters,,Washed,0,Guatemala,Americas,"caramel,lime",
191,Buzira Washing Station,Embrace,Buzira Washing Station,Washed,0,Burundi,Africa,,
192,Kayon Mountain,Embrace,Kayon Mountain,Washed,0,Ethiopia,Africa,,
193,Finca Isabelita,Embrace,Finca Isabelita,Washed,0,Guatemala,Americas,,
194,La Yerba Women Producers,Embrace,La Yerba Women Producers,Natural,956,Mexico,Americas,"gummy bear,dark chocolate",Caturra
195,Congo,Empire,,Washed,0,Congo,Africa,"plum,ginger,brown sugar",
196,Ethiopa Guiji Kercha Natural,Empire,,Natural,0,Ethiopia,Africa,,
197,Honduras Santa Elena,Empire,,Washed,0,Honduras,Americas,"lemon,honey,orange,caramel",
198,Guatemala El Injerto Natural,Equator,Arturo Aguirre,Natural,5750,Guatemala,Americas,"blueberry,star anise,red apple",Red Catuai
199,San Antonio,Figure 8 Purveyors,Multiple,Washed,1800,Colombia,Americas,"green apple,chocolate,currant,raisin",
200,Sheka Kawo Kamina Natural,Flat Track,Heleanna Georgalis,Natural,2000,Ethiopia,Africa,"cream,biscoff cookie,cotton candy","Ethiopia Landraces,Gemadro"
201,"Colombia Huila, ALIMUCAES Womens Project",Form & Function,Alimucaes Womens Project,Washed,1900,Colombia,Americas,"orange blossom,white peach,rose","Colombia,Castillo,Caturra"
202,San Isidro 27 - Las Lajas,Fulcrum,Chacan Solano Family,Natural,1650,Costa Rica,Americas,"red wine,bright,cherry,lemon,juicy",San Isidro 27
203,Decaf,Fulcrum,,Swiss Water Decaf,0,Colombia,Americas,,
204,China Menglian Daya,Fulcrum,,Washed,0,China,Asia,"honey,sweet,berry,black tea",
205,Los Naranjales,Fulcrum,Mynow Cano,Washed,1500,Guatemala,Americas,"raspberry,strawberry,yellow fruit,sweet","Mundo Novo,Bourbon,Caturra,Catuai"
206,Doi Saket,Fulcrum,Nui & Aoy,Washed,1300,Thailand,Asia,"creamy,green apple,milk chocolate,lemon",Typica
207,Centroamericano,Fulcrum,CecilianoáFamily,Natural,1350,Costa Rica,Americas,"round,orange,lime,cherry yogurt","F1 Hybrid,Centroamericano"
208,Colombia,Gaslight Coffee Roasters,,Washed,0,Colombia,Americas,,
209,La Bendicion El Beso la Piedra,George Howell,La Soledad,Washed,5150,Guatemala,Americas,"mandarin orange,lime,apple","Bourbon,Caturra,Catuai"
210,Yemen,George Howell,,Washed,0,Yemen,Asia,,
211,Alaka,Go Get Em Tiger,Metad,Washed,2050,Ethiopia,Africa,"herbal tea,lemon,cherry",Heirlooms
212,La Piramide,Go Get Em Tiger,,Washed,1850,Colombia,Americas,"crisp,apple pie",Caturra
213,Minor Monuments,Go Get Em Tiger,,Washed,0,Blend,Blend,"dark chocolate,toffee,cherry",
214,Ardi,Hagen,,Natural,1950,Ethiopia,Africa,"strawberry,black cherry,floral honey",Heirlooms
215,Costa Rica Las Lajas,Hagen,Las Lajas Farm & Mill,Natural,1575,Costa Rica,Americas,"raspberry,fruit punch,cherry wine",Villa Sarchi
